Name,Type,Rating,Rank,Description,Tags,NTags
The Apothecary Diaries,"TV
(14+ eps)","4.589 out of 5 from 2,728 votes",Rank #1,"In the East is a land ruled by an emperor, whose consorts and serving women live in a sprawling complex known as the hougong, the rear palace. Maomao, an unassuming girl raised in an unassuming town by her apothecary father, never imagined the rear palace would have anything to do with her—until she was kidnapped and sold into service there.","{'Maids', 'Romance', 'Doctors', 'Political', 'Historical', 'Medical', 'Slice of Life', 'Social Gap', 'Ancient China', 'Based on a Light Novel', 'Drama', 'Mystery'}","{'Mature Themes,', 'Prostitution'}"
Heaven Official's Blessing 2nd Season,"Web
(11+ eps x 26 min)",4.578 out of 5 from 491 votes,Rank #2,"When Xie Lian is sent on a mission to Ghost City in search of a missing heavenly official, he again encounters the mysterious and captivating Hua Cheng. Both the misfit god and infamous ghost king clearly treasure the bond forming between them, but Xie Lian fears his duty may put them at odds... or perhaps it will bring them closer together..? And when a crime committed by Xie Lian in the past is revealed to the heavenly court, will he again become a pariah to those who already see him as the laughingstock of the three realms?","{'Romance', 'Royalty', 'Based on a Web Novel', 'Non-Human Protagonists', 'Political', 'Ghosts', 'Xianxia', 'BL', 'Gods', 'Historical', 'Afterlife', 'Ancient China', 'Chinese Animation', 'Supernatural', 'Shounen-ai', 'Opposites Attract'}","{'Physical Abuse', 'Explicit Violence,'}"
Fullmetal Alchemist: Brotherhood,"TV
(64 eps)","4.57 out of 5 from 83,697 votes",Rank #3,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.","{'Military', 'Fantasy', 'Siblings', 'Death of a Loved One', 'Based on a Manga', 'Adventure', 'Conspiracy', 'Shounen', 'Drama', 'Action', 'Mystery'}","{'Domestic Abuse', 'Violence,', 'Animal Abuse,', 'Mature Themes,'}"
Fruits Basket the Final Season,"TV
(13 eps)","4.561 out of 5 from 9,674 votes",Rank #4,The final arc of Fruits Basket.,"{'Romance', 'Dysfunctional Families', 'Fantasy', 'Shoujo', 'Contemporary Fantasy', 'Animal Transformation', 'Based on a Manga', 'Zodiac', 'Orphans', 'Curse', 'Drama', 'Mental Illness'}","{'Suicide,', 'Emotional Abuse,', 'Domestic Abuse', 'Mature Themes,', 'Violence,', 'Physical Abuse,'}"
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,"TV
(11 eps)","4.558 out of 5 from 24,057 votes",Rank #5,"Tanjiro and his friends accompany the Hashira Tengen Uzui to an entertainment district where Tengen’s female ninja agents were gathering information on a demon before they suddenly disappeared. In order to investigate, Tanjiro and the others disguise themselves as women to sneak in!","{'Siblings', 'Swordplay', 'Historical', 'Based on a Manga', 'Demons', 'Adventure', 'Orphans', 'Shounen', 'Supernatural', 'Action', 'Martial Arts'}",{'Explicit Violence'}
Mo Dao Zu Shi 3,"Web
(12 eps x 24 min)","4.546 out of 5 from 2,607 votes",Rank #6,The third season of Mo Dao Zu Shi.,"{'Based on a Web Novel', 'Fantasy', 'Xianxia', 'Ancient China', 'Cultivation', 'Chinese Animation'}",
Attack on Titan The Final Season: The Final Chapters,"TV Special
(2 eps x 72 min)","4.544 out of 5 from 6,398 votes",Rank #8,Final part of Attack on Titan The Final Season.,"{'Military', 'War', 'Fantasy', 'Based on a Manga', 'Shounen', 'Dark Fantasy', 'Drama', 'Action'}","{'Mature Themes,', 'Suicide', 'Physical Abuse,', 'Explicit Violence,'}"
Frieren: Beyond Journey's End,"TV
(18+ eps)","4.545 out of 5 from 2,989 votes",Rank #7,"Elf mage Frieren and her courageous fellow adventurers have defeated the Demon King and brought peace to the land. With the great struggle over, they all go their separate ways to live a quiet life. But as an elf, Frieren, nearly immortal, will long outlive the rest of her former party. How will she come to terms with the mortality of her friends? How can she find fulfillment in her own life, and can she learn to understand what life means to the humans around her? Frieren begins a new journey to find the answer.","{'Medieval', 'Fantasy', 'Non-Human Protagonists', 'Death of a Loved One', 'Magic', 'Based on a Manga', 'Adventure', 'Shounen', 'Elves'}","{'Violence', 'Suicide,'}"
Attack on Titan 3rd Season: Part II,"TV
(10 eps)","4.536 out of 5 from 41,128 votes",Rank #9,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?","{'Military', 'Fantasy', 'Based on a Manga', 'Post-apocalyptic', 'Outside World', 'Isolated Society', 'Shounen', 'Dark Fantasy', 'Horror', 'Action'}","{'Cannibalism,', 'Explicit Violence'}"
Bleach: Thousand-Year Blood War,"TV
(13 eps)","4.533 out of 5 from 5,859 votes",Rank #10,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents there are disappearing without a trace and nobody knows who's behind it. Meanwhile, a dark shadow is also extending itself toward Ichigo and his friends in Karakura Town…","{'War', 'Ghosts', 'Shinigami', 'Based on a Manga', 'Afterlife', 'Shounen', 'Comedy', 'Drama', 'Action', 'Supernatural'}",{'Explicit Violence'}
Jujutsu Kaisen 2nd Season,"TV
(23 eps)","4.527 out of 5 from 7,929 votes",Rank #11,The second season of Jujutsu Kaisen.,"{'School Life', 'Exorcists', 'Based on a Manga', 'Body Sharing', 'Shounen', 'Curse', 'Horror', 'Action', 'Supernatural', 'Monsters'}",{'Explicit Violence'}
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,"TV
(10 eps)","4.519 out of 5 from 29,525 votes",Rank #12,"Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture?","{'Animeism', 'School Life', 'Based on a Manga', 'School Club', 'Volleyball', 'Tournaments', 'Shounen', 'Sports'}",
Jujutsu Kaisen,"TV
(24 eps)","4.518 out of 5 from 50,496 votes",Rank #13,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…","{'Curse', 'School Life', 'Contemporary Fantasy', 'Based on a Manga', 'Body Sharing', 'Urban Fantasy', 'Shounen', 'Horror', 'Exorcists', 'Action', 'Supernatural', 'Monsters'}",{'Explicit Violence'}
Kaguya-sama: Love is War - Ultra Romantic,"TV
(13 eps)","4.5 out of 5 from 8,637 votes",Rank #14,The third season of Kaguya-sama: Love Is War.,"{'Romance', 'Based on a Manga', 'Mind Games', 'Episodic', 'Seinen', 'Student Council', 'Comedy', 'Romantic Comedy', 'Drama'}",
your name.,"Movie
(1 ep x 107 min)","4.499 out of 5 from 62,434 votes",Rank #15,"Mitsuha and Taki are two total strangers living completely different lives. But when Mitsuha makes a wish to leave her mountain town and for the bustling city of Tokyo, they become connected in a bizarre way. She dreams she is a boy living in Tokyo while Taki dreams he is a girl from a rural town he’s never been to. What does their newfound connection mean? And how will it bring them together?","{'Romance', 'School Life', 'Gender Bender', 'Body Swapping', 'Supernatural', 'Drama', 'Original Work', 'Opposites Attract'}",
Haikyuu!! Second Season,"TV
(25 eps)","4.499 out of 5 from 37,006 votes",Rank #16,"After losing to Aoba Johsai at the Inter-High, the Karasuno High Volleyball Team is working their hardest toward the Spring Tournament. In the meantime, it's decided that they'll be heading to Tokyo for a training camp with Nekoma High and a handful of other powerful schools. They team is practicing hard, and not day during their run, Hinata and Kageyama get too excited and end up lost, and end up meeting someone rather unexpected...","{'School Life', 'Based on a Manga', 'School Club', 'Volleyball', 'Tournaments', 'Shounen', 'Sports'}",
A Silent Voice,"Movie
(1 ep x 130 min)","4.499 out of 5 from 57,871 votes",Rank #17,"After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shouko, the class turns its back on him. Shouko transfers and Shouya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends.","{'School Life', 'Based on a Manga', 'Disability', 'Melancholy', 'Shounen', 'Drama', 'Mental Illness'}","{'Bullying,', 'Suicide', 'Mature Themes,'}"
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,"Movie
(1 ep x 117 min)","4.497 out of 5 from 30,163 votes",Rank #18,"Tanjirou and the group have completed their rehabilitation training at the Butterfly Mansion, and they arrive to their next mission on the Mugen Train, where over 40 people have disappeared in a very short period of time. Tanjirou and Nezuko, along with Zenitsu and Inosuke, join one of the most powerful swordsmen within the Demon Slayer Corps, Flame Hashira Rengoku Kyoujurou, to face the demon aboard the Mugen Train on track to despair.","{'Trains', 'Siblings', 'Swordplay', 'Historical', 'Based on a Manga', 'Demons', 'Orphans', 'Shounen', 'Supernatural', 'Drama', 'Action', 'Martial Arts'}","{'Violence', 'Mature Themes,', 'Suicide,'}"
Hunter x Hunter (2011),"TV
(148 eps)","4.488 out of 5 from 61,358 votes",Rank #19,"Drawn to the mystique of the unknown, Hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. Gon Freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father Ging - a master of the profession himself. To reach his goal, he partakes in the formidable Hunter Exam, a series of tests that push the participants to their physical and mental limits, with a Hunter License as the prize. During the exam Gon befriends vengeful Kurapika, doctor-to-be Leorio, and skilled assassin Killua, who have entered for their own reasons. But with the sinister Hisoka standing in their way, will Gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives?","{'Fantasy', 'Superpowers', 'Based on a Manga', 'Adventure', 'Child Protagonists', 'Shounen', 'Drama', 'Action', 'Monsters'}",{'Violence'}
Attack on Titan The Final Season,"TV
(16 eps)","4.484 out of 5 from 31,187 votes",Rank #20,"It's been four years since the Scout Regiment reached the shoreline, and the world looks different now. Things are heating up as the fate of the Scout Regiment—and the people of Paradis—are determined at last. However, Eren is missing. Will he reappear before age-old tensions between Marleyans and Eldians result in the war of all wars?","{'Military', 'War', 'Fantasy', 'Dark Fantasy', 'Based on a Manga', 'Shounen', 'Horror', 'Drama', 'Action'}","{'Mature Themes,', 'Suicide', 'Physical Abuse,', 'Explicit Violence,'}"
Haikyuu!! To the Top: Part II,"TV
(12 eps)","4.48 out of 5 from 15,855 votes",Rank #21,Continuation of Haikyuu!! To the Top.,"{'Animeism', 'Based on a Manga', 'School Club', 'Volleyball', 'Tournaments', 'Shounen', 'Sports'}",
Heaven Official's Blessing Special,"Web
(1 ep x 22 min)","4.477 out of 5 from 3,504 votes",Rank #22,No synopsis yet - check back soon!,"{'Interspecies Relationship', 'Romance', 'Royalty', 'Based on a Web Novel', 'Non-Human Protagonists', 'Ghosts', 'Xianxia', 'BL', 'Demon King', 'Gods', 'Historical', 'Afterlife', 'Ancient China', 'Chinese Animation', 'Supernatural', 'Shounen-ai', 'Opposites Attract'}",
